Designator,Mid X,Mid Y,Rotation,Layer
C1,91.8086,-65.024,0.0,top
C10,82.9564,-62.9282,90.0,top
C11,78.232,-62.9282,90.0,top
C12,84.582,-75.5904,270.0,top
C13,87.0204,-58.8264,0.0,top
C14,86.842,-54.5084,180.0,top
C15,86.1568,-75.5774,270.0,top
C16,90.3094,-73.3044,180.0,top
C17,90.2964,-80.1823,180.0,top
C18,90.3094,-75.5595,180.0,top
C19,84.8359,-92.3036,270.0,top
C2,91.8086,-66.5988,0.0,top
C21,92.1305,-86.7834,90.0,top
C22,89.6035,-89.2348,0.0,top
C23,92.1154,-97.4322,90.0,top
C24,89.6392,-99.9344,0.0,top
C25,91.9985,-108.8173,90.0,top
C26,89.5429,-111.2921,0.0,top
C3,91.8086,-69.6976,0.0,top
C4,86.2356,-70.6478,270.0,top
C5,84.6836,-61.1502,90.0,top
C6,91.8086,-68.1736,0.0,top
C7,82.9564,-66.053,270.0,top
C8,78.232,-66.053,270.0,top
C9,76.6572,-66.053,270.0,top
D1,99.6696,-68.2752,0.0,top
IC1,92.422,-118.5414,180.0,top
IC2,87.0204,-65.8368,0.0,top
IC4,80.0691,-89.9166,180.0,top
IC5,79.5528,-129.54,180.0,top
IC6,87.8989,-86.3084,270.0,top
IC7,87.8838,-96.9572,270.0,top
IC8,87.8179,-108.3149,270.0,top
J1,75.184,-62.1782,0.0,top
J11,98.1964,-111.3028,270.0,top
J2,101.411,-61.2704,90.0,top
J4,73.4568,-146.8628,90.0,top
J6,74.0663,-94.6404,0.0,top
JP1,89.7128,-141.7828,90.0,top
JP2,89.7128,-126.5428,90.0,top
JP3,81.9404,-141.7828,270.0,top
JP4,81.5847,-85.09,90.0,top
JP5,81.5847,-95.7072,90.0,top
JP6,81.5847,-107.0864,90.0,top
L1,80.5941,-65.278,180.0,top
L2,80.5941,-63.7032,180.0,top
L3,91.0714,-77.871,90.0,top
Q2,89.7429,-91.582,0.0,top
Q3,89.504,-102.2816,0.0,top
Q4,89.5299,-113.6667,0.0,top
R1,93.3826,-77.3176,0.0,top
R10,91.8464,-71.2724,180.0,top
R11,86.2584,-61.151,90.0,top
R12,90.5049,-86.7334,90.0,top
R13,86.9338,-101.4691,270.0,top
R14,90.4898,-97.3822,90.0,top
R15,86.8375,-112.8268,270.0,top
R16,90.4237,-108.7673,90.0,top
R2,93.3196,-115.633,270.0,top
R3,91.7448,-115.633,90.0,top
R4,101.7158,-54.9712,180.0,top
R5,95.823,-63.7154,270.0,top
R6,95.823,-58.3118,90.0,top
R7,98.6678,-54.9712,180.0,top
R8,86.8981,-90.7989,270.0,top
R9,84.6328,-70.5998,90.0,top
SW1,77.6434,-72.3392,0.0,top
SW2,77.5926,-78.1304,0.0,top
U1,70.1797,-59.6032,90.0,top
U2,93.5888,-74.4419,90.0,top
U3,92.267,-61.2196,180.0,top
Y1,86.9454,-56.6508,0.0,top
